Abalone,Granulocyte_DCFHDA,Hyalinocyte1_DCFHDA,Hyalinocyte2_DCFHDA,Granulocyte_lysotracker,Hyalinocyte1_lysotracker,Hyalinocyte2_lysotracker
Ab01,685000,1540000,3270000,320582,405000,936000
Ab02,2220000,1980000,3740000,1350000,798000,1800000
Ab03,1690000,1700000,3600000,1110000,654000,1530000
Ab04,1810000,1580000,2970000,1080000,491000,1170000
Ab05,2610000,2050000,4080000,1880000,839000,2150000
Ab06,2590000,1960000,4040000,1360000,676000,1750000
Ab07,2410000,1910000,3830000,1730000,897000,2230000
Ab08,960000,1960000,4040000,768000,671000,1670000
Ab09,717000,1630000,3160000,727000,838000,1890000
Ab10,2040000,1690000,3610000,1530000,790000,1920000
